



Epoch: [95/2000] Loss: 3.4376 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [96/2000] Loss: 3.4502 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.22it/s]



Epoch: [96/2000] Loss: 3.4359 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [96/2000] Loss: 3.4369 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [97/2000] Loss: 3.4363 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [97/2000] Loss: 3.4367 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [98/2000] Loss: 3.4349 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.05it/s]
Epoch: [98/2000] Loss: 3.4354 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [99/2000] Loss: 3.4348 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.04it/s]
Epoch: [99/2000] Loss: 3.4356 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [100/2000] Loss: 3.4294 Acc: 0.00%:  46%|█████████████████████                         | 11/24 [00:03<00:04,  3.04it/s]
Epoch: [100/2000] Loss: 3.4305 Acc: 0.00%:  71%|████████████████████████████████▌             | 17/24 [00:05<00:02,  3.04it/s]
Epoch: [100/2000] Loss: 3.4356 Acc: 0.00%:  96%|████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.04it/s]
