



Epoch: [69/2000] Loss: 1.6010 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.93it/s]
Epoch: [69/2000] Loss: 1.6012 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [70/2000] Loss: 1.5933 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.93it/s]
Epoch: [70/2000] Loss: 1.6025 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [71/2000] Loss: 1.5992 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.95it/s]
Epoch: [71/2000] Loss: 1.5987 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [72/2000] Loss: 1.5948 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.93it/s]
Epoch: [72/2000] Loss: 1.6009 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [73/2000] Loss: 1.5984 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [74/2000] Loss: 1.5991 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [75/2000] Loss: 1.5982 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [76/2000] Loss: 1.5972 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [77/2000] Loss: 1.5989 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [78/2000] Loss: 1.5978 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [79/2000] Loss: 1.5978 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [80/2000] Loss: 1.5965 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]




Epoch: [81/2000] Loss: 1.5955 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  2.94it/s]
Epoch: [81/2000] Loss: 1.5989 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.96it/s]



Epoch: [82/2000] Loss: 1.5981 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  2.92it/s]
Epoch: [82/2000] Loss: 1.5960 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [83/2000] Loss: 1.5971 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  2.92it/s]
Epoch: [83/2000] Loss: 1.5966 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [84/2000] Loss: 1.5960 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  2.93it/s]
Epoch: [84/2000] Loss: 1.5955 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [85/2000] Loss: 1.5915 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [85/2000] Loss: 1.5956 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.96it/s]



Epoch: [86/2000] Loss: 1.5939 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [86/2000] Loss: 1.5959 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [87/2000] Loss: 1.5959 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.91it/s]
Epoch: [87/2000] Loss: 1.5967 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [88/2000] Loss: 1.5917 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.91it/s]
Epoch: [88/2000] Loss: 1.5940 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [89/2000] Loss: 1.5896 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [89/2000] Loss: 1.5967 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [90/2000] Loss: 1.6041 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [90/2000] Loss: 1.5957 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [91/2000] Loss: 1.5966 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.92it/s]
Epoch: [91/2000] Loss: 1.5946 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [92/2000] Loss: 1.5947 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [92/2000] Loss: 1.5944 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [93/2000] Loss: 1.5939 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.95it/s]
Epoch: [93/2000] Loss: 1.5921 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [94/2000] Loss: 1.5866 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.93it/s]
Epoch: [94/2000] Loss: 1.5923 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [95/2000] Loss: 1.6062 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.92it/s]
Epoch: [95/2000] Loss: 1.5952 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [96/2000] Loss: 1.5864 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.94it/s]
Epoch: [96/2000] Loss: 1.5933 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [97/2000] Loss: 1.5890 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.94it/s]
Epoch: [97/2000] Loss: 1.5918 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [98/2000] Loss: 1.5898 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.94it/s]
Epoch: [98/2000] Loss: 1.5913 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [99/2000] Loss: 1.5907 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  2.93it/s]
Epoch: [99/2000] Loss: 1.5932 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]
Epoch: [100/2000] Loss: 1.6374 Acc: 0.00%:  33%|███████████████▋                               | 8/24 [00:02<00:05,  2.93it/s]
Epoch: [100/2000] Loss: 1.5982 Acc: 0.00%:  58%|██████████████████████████▊                   | 14/24 [00:04<00:03,  2.92it/s]
Epoch: [100/2000] Loss: 1.5929 Acc: 0.00%:  83%|██████████████████████████████████████▎       | 20/24 [00:06<00:01,  2.93it/s]
