



Epoch: [102/2000] Loss: 3.1335 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [102/2000] Loss: 3.1303 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [103/2000] Loss: 3.1247 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
Epoch: [103/2000] Loss: 3.1268 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [103/2000] Loss: 3.1315 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [104/2000] Loss: 3.1370 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.92it/s]
Epoch: [104/2000] Loss: 3.1302 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.91it/s
Epoch: [104/2000] Loss: 3.1335 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [105/2000] Loss: 3.1346 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
Epoch: [105/2000] Loss: 3.1304 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.96it/s
Epoch: [105/2000] Loss: 3.1316 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [106/2000] Loss: 3.1448 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
Epoch: [106/2000] Loss: 3.1374 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [106/2000] Loss: 3.1393 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [107/2000] Loss: 3.1257 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.94it/s]
Epoch: [107/2000] Loss: 3.1405 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.93it/s
Epoch: [107/2000] Loss: 3.1375 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [108/2000] Loss: 3.1444 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.97it/s]
Epoch: [108/2000] Loss: 3.1361 Acc: 0.00%:  50%|▌| 12/24 [00:04<00:04,  2.95it/s
Epoch: [108/2000] Loss: 3.1339 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s
  0%|                                                    | 0/24 [00:00<?, ?it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]
Epoch: [109/2000] Loss: 3.1229 Acc: 0.00%:  25%|▎| 6/24 [00:02<00:06,  2.96it/s]
